model,short,query_id,qlang,same_share,foreign_share,base_same,overrep,entropy,clir_at_10,frac_en,frac_de,frac_es,frac_fr,frac_zh
google/embeddinggemma-300m,embeddinggemma,EP-4633791-A1_en_q_zh,zh,0.0,1.0,0.016815907848824987,0.0,1.4854752972273344,1.0,0.5,0.0,0.2,0.3,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4630574-A1_fr_q_fr,fr,0.6,0.4,0.37016017152226005,1.6209199318568994,1.7709505944546686,0.0,0.1,0.1,0.1,0.6,0.1
google/embeddinggemma-300m,embeddinggemma,EP-4634111-A1_fr_q_fr,fr,1.0,0.0,0.37016017152226005,2.701533219761499,-0.0,0.0,0.0,0.0,0.0,1.0,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633622-A2_en_q_es,es,0.4,0.6,0.09055366376592257,4.417270194986072,1.5709505944546684,0.6666666666666666,0.3,0.0,0.4,0.3,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634187-A1_en_q_es_120,es,0.0,1.0,0.09055366376592257,0.0,1.3567796494470397,0.3333333333333333,0.1,0.1,0.0,0.7,0.1
google/embeddinggemma-300m,embeddinggemma,EP-4634139-A1_fr_q_fr,fr,0.6,0.4,0.37016017152226005,1.6209199318568994,0.9709505944546686,0.5,0.4,0.0,0.0,0.6,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634136-A1_en_q_en,en,0.6,0.4,0.4551645856980704,1.3182044887780549,0.9709505944546686,0.0,0.6,0.0,0.0,0.4,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634136-A1_en_q_de,de,0.2,0.8,0.06730567116492202,2.9715178013741412,1.7609640474436812,0.0,0.5,0.2,0.1,0.2,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634136-A1_fr_q_fr,fr,0.9,0.09999999999999998,0.37016017152226005,2.4313798977853494,0.4689955935892812,0.0,0.1,0.0,0.0,0.9,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634136-A1_en_q_es_125,es,0.6,0.4,0.09055366376592257,6.625905292479108,1.3709505944546687,0.0,0.2,0.0,0.6,0.2,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634248-A1_en_q_en,en,0.8,0.19999999999999996,0.4551645856980704,1.7576059850374066,0.7219280948873623,0.5,0.8,0.0,0.0,0.2,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634142-A1_en_q_es,es,0.0,1.0,0.09055366376592257,0.0,1.360964047443681,1.0,0.5,0.0,0.0,0.4,0.1
google/embeddinggemma-300m,embeddinggemma,WO-2025214812-A1_de_q_es,es,0.0,1.0,0.09055366376592257,0.0,1.4854752972273344,0.6666666666666666,0.5,0.2,0.0,0.3,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633662-A1_en_q_de,de,0.0,1.0,0.06730567116492202,0.0,1.3709505944546687,0.3333333333333333,0.6,0.0,0.2,0.2,0.0
google/embeddinggemma-300m,embeddinggemma,WO-2025153617-A3_de_q_de,de,0.4,0.6,0.06730567116492202,5.9430356027482825,1.8464393446710154,0.5,0.3,0.4,0.1,0.2,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634596-A1_en_q_en,en,0.5,0.5,0.4551645856980704,1.098503740648379,1.7609640474436812,0.5,0.5,0.2,0.1,0.2,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634596-A1_en_q_de,de,0.2,0.8,0.06730567116492202,2.9715178013741412,1.3709505944546687,0.6666666666666666,0.2,0.2,0.0,0.6,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634596-A1_fr_q_fr,fr,0.8,0.19999999999999996,0.37016017152226005,2.1612265758091995,0.9219280948873623,0.5,0.1,0.0,0.1,0.8,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634596-A1_en_q_es_135,es,0.1,0.9,0.09055366376592257,1.104317548746518,1.721928094887362,0.6666666666666666,0.4,0.0,0.1,0.4,0.1
BAAI/bge-m3,bge-m3,EP-4633662-A1_en_q_en,en,0.8,0.19999999999999996,0.4551645856980704,1.7576059850374066,0.7219280948873623,0.0,0.8,0.0,0.0,0.2,0.0
BAAI/bge-m3,bge-m3,EP-4630509-A1_fr_q_fr,fr,0.9,0.09999999999999998,0.37016017152226005,2.4313798977853494,0.4689955935892812,0.0,0.1,0.0,0.0,0.9,0.0
